0.821,0.549153,3.268596,9.148957,9.730812,0.373,3.343,9.092,9.695
0.841,0.592224,3.139383,9.110672,9.654574,0.464,3.276,9.077,9.663
0.86,0.558724,3.053242,8.957532,9.480076,0.542,3.186,9.052,9.612
0.879,0.324227,3.120241,8.799605,9.34206,0.506,3.145,9.004,9.552
0.898,0.075374,3.081956,8.76132,9.287888,0.388,3.099,8.907,9.441
0.918,-0.25005,2.985644,8.780462,9.27756,0.177,3.06,8.825,9.347
0.936,-0.719641,2.765505,8.833105,9.283838,-0.143,2.988,8.794,9.298
0.956,-0.714856,2.358725,8.962317,9.295038,-0.402,2.798,8.834,9.286
0.975,0.089731,2.641078,8.416156,8.821283,-0.399,2.688,8.748,9.169
0.997,-0.307478,2.593221,8.119446,8.529052,-0.413,2.59,8.583,8.982
1.013,-0.949352,2.607579,8.018947,8.485531,-0.47,2.55,8.379,8.783
1.033,-1.451845,2.732005,7.961519,8.541516,-0.655,2.643,8.129,8.594
1.051,-1.499702,2.545365,8.00459,8.532377,-1.052,2.62,8.026,8.522
1.071,-1.542772,2.353939,7.908877,8.394731,-1.361,2.56,7.973,8.489
1.09,-1.744368,2.200799,7.947162,8.428743,-1.56,2.458,7.956,8.474
1.109,-1.720439,2.085943,7.798807,8.254239,-1.627,2.297,7.915,8.403
1.129,-1.585843,1.90349,7.899306,8.27872,-1.648,2.136,7.889,8.339
1.147,-1.734796,1.487139,8.081161,8.397991,-1.696,1.919,7.932,8.34
1.166,-2.826522,1.472782,8.962317,9.512174,-1.967,1.737,8.185,8.611
1.185,-4.181458,2.042872,9.623335,10.68955,-2.582,1.727,8.642,9.22
1.205,-5.684748,2.947359,9.302098,11.293021,-3.607,1.988,8.992,9.973
1.224,-4.549952,3.235096,6.486942,8.558524,-4.311,2.425,8.594,10.013
1.243,-4.478168,2.377867,6.348158,8.124491,-4.724,2.651,7.94,9.666
1.262,-4.727021,2.253441,8.129017,9.669728,-4.86,2.703,7.567,9.411
1.281,-5.354539,2.172085,9.618548,11.220762,-4.777,2.51,7.646,9.393
1.301,-6.159125,2.61715,9.249456,11.416512,-5.18,2.355,8.336,10.108
1.319,-5.756533,3.871587,8.009376,10.596082,-5.499,2.729,8.752,10.726
1.339,-6.014958,4.302893,7.540382,10.561817,-5.821,3.241,8.604,10.949
1.358,-6.632905,4.288537,8.03809,11.269333,-6.141,3.77,8.209,10.961
1.377,-6.15434,4.029513,7.67438,10.630569,-6.14,4.123,7.816,10.764
1.396,-5.818747,4.183252,6.774081,9.861317,-6.155,4.201,7.507,10.581
1.416,-5.986244,4.451248,5.993423,9.569213,-6.148,4.238,7.12,10.333
